AssignDate,Client_LastName,Client_City,Client_Country,Supplier_Name,Supplier_City,Supplier_Country,Brand,Category,Quantity,Price
2025-10-23,Дзюба,Київ,Україна,EastMarket,Харків,Україна,Jacobs,Кава,6,78.97
2025-08-01,Вакарчук,Харків,Україна,EcoFoods,Одеса,Україна,Nescafe,Кава,23,100.74
2025-06-06,Вертипорох,Харків,Україна,EastMarket,Харків,Україна,Mars,Солодощі,18,106.78
2025-09-10,Чорновіл,Дніпро,Україна,FreshTrade,Київ,Україна,Milka,Солодощі,28,91.34
2025-08-01,Медведенко,Львів,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,3,44.57
2025-09-14,Онуфрієнко,Харків,Україна,GoodSupply,Львів,Україна,Milka,Солодощі,7,118.23
2025-09-25,Швачко,Львів,Україна,FreshTrade,Київ,Україна,Jacobs,Кава,18,84.72
2025-08-14,Рябовіл,Одеса,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,28,10.87
2025-06-20,Артюх,Одеса,Україна,FreshTrade,Київ,Україна,Fanta,Напої,36,30.67
2025-09-20,Цибуленко,Одеса,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,47,89.19
2025-09-26,Свистун,Харків,Україна,GoodSupply,Львів,Україна,Nescafe,Кава,25,50.86
2025-09-03,Лагода,Львів,Україна,FreshTrade,Київ,Україна,Snickers,Солодощі,40,44.64
2025-10-12,Батуринець,Харків,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,24,28.39
2025-07-03,Коваленко,Київ,Україна,EcoFoods,Одеса,Україна,Sprite,Напої,18,23.18
2025-05-26,Демʼянюк,Київ,Україна,GoodSupply,Львів,Україна,Sprite,Напої,28,23.21
2025-10-29,Гайденко,Дніпро,Україна,FreshTrade,Київ,Україна,Mars,Солодощі,44,10.39
2025-05-31,Пустовіт,Харків,Україна,GoodSupply,Львів,Україна,Sprite,Напої,45,106.75
2025-08-07,Гайдабура,Дніпро,Україна,EastMarket,Харків,Україна,Mars,Солодощі,29,103.48
2025-11-05,Заїка,Харків,Україна,EastMarket,Харків,Україна,Jacobs,Кава,22,119.36
2025-09-02,Тягнибок,Одеса,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,15,83.32
2025-10-09,Захарченко,Одеса,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,44,39.6
2025-08-29,Гузенко,Львів,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,33,114.25
2025-10-31,Заєць,Харків,Україна,EcoFoods,Одеса,Україна,Nescafe,Кава,6,12.9
2025-09-03,Литвин,Дніпро,Україна,EcoFoods,Одеса,Україна,Fanta,Напої,10,13.02
2025-10-19,Худобʼяк,Київ,Україна,GoodSupply,Львів,Україна,Snickers,Солодощі,8,37.85
2025-07-21,Вітер,Харків,Україна,GoodSupply,Львів,Україна,Sprite,Напої,19,26.08
2025-10-06,Гайворонський,Харків,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,11,32.79
2025-07-06,Єщенко,Львів,Україна,EcoFoods,Одеса,Україна,Mars,Солодощі,30,10.54
2025-10-31,Сірченко,Дніпро,Україна,FreshTrade,Київ,Україна,Lipton Ice Tea,Напої,42,73.23
2025-06-09,Назаренко,Дніпро,Україна,FreshTrade,Київ,Україна,Mars,Солодощі,22,82.88
2025-08-21,Усик,Львів,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,31,115.86
2025-08-25,Фаренюк,Львів,Україна,EcoFoods,Одеса,Україна,Milka,Солодощі,27,46.3
2025-09-24,Сацюк,Київ,Україна,EastMarket,Харків,Україна,Snickers,Солодощі,21,35.02
2025-09-04,Микитюк,Харків,Україна,GoodSupply,Львів,Україна,Fanta,Напої,21,35.88
2025-07-01,Тимченко,Дніпро,Україна,GoodSupply,Львів,Україна,Sprite,Напої,24,104.75
2025-06-07,Євтушенко,Львів,Україна,FreshTrade,Київ,Україна,Sprite,Напої,37,24.55
2025-08-18,Артим,Одеса,Україна,FreshTrade,Київ,Україна,Coca-Cola,Напої,17,64.77
2025-07-08,Шахрай,Львів,Україна,GoodSupply,Львів,Україна,Nescafe,Кава,37,31.67
2025-11-08,Макаренко,Київ,Україна,EcoFoods,Одеса,Україна,Coca-Cola,Напої,11,20.77
2025-10-03,Ярема,Київ,Україна,GoodSupply,Львів,Україна,Fanta,Напої,9,19.58
2025-10-05,Гречко,Одеса,Україна,EastMarket,Харків,Україна,Snickers,Солодощі,49,57.86
2025-06-01,Корбут,Одеса,Україна,GoodSupply,Львів,Україна,Lipton Ice Tea,Напої,39,88.98
2025-08-09,Ковалюк,Одеса,Україна,GoodSupply,Львів,Україна,Nescafe,Кава,25,59.53
2025-09-19,Нестайко,Львів,Україна,FreshTrade,Київ,Україна,Jacobs,Кава,5,107.14
2025-09-17,Сірченко,Київ,Україна,GoodSupply,Львів,Україна,Jacobs,Кава,34,87.78
2025-11-02,Голобородько,Київ,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,25,15.94
2025-10-27,Чекалюк,Харків,Україна,GoodSupply,Львів,Україна,Milka,Солодощі,39,46.2
2025-07-14,Арсенич,Львів,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,31,93.99
2025-06-16,Гаврилюк,Київ,Україна,EcoFoods,Одеса,Україна,Fanta,Напої,28,86.04
2025-06-30,Малик,Харків,Україна,GoodSupply,Львів,Україна,Nescafe,Кава,19,73.62
2025-06-02,Деряжний,Одеса,Україна,GoodSupply,Львів,Україна,Fanta,Напої,41,18.49
2025-09-10,Венгринович,Харків,Україна,FreshTrade,Київ,Україна,Milka,Солодощі,27,50.56
2025-08-15,Вдовенко,Одеса,Україна,EcoFoods,Одеса,Україна,Jacobs,Кава,17,17.0
2025-08-30,Рак,Львів,Україна,EastMarket,Харків,Україна,Mars,Солодощі,36,47.94
2025-10-25,Давимука,Одеса,Україна,GoodSupply,Львів,Україна,Lipton Ice Tea,Напої,35,14.52
2025-11-05,Малишко,Львів,Україна,EcoFoods,Одеса,Україна,Sprite,Напої,28,114.89
2025-09-22,Штепа,Одеса,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,37,18.5
2025-09-29,Дурдинець,Харків,Україна,GoodSupply,Львів,Україна,Jacobs,Кава,27,25.92
2025-06-07,Редько,Харків,Україна,FreshTrade,Київ,Україна,Coca-Cola,Напої,11,27.51
2025-11-03,Цюпа,Львів,Україна,FreshTrade,Київ,Україна,Jacobs,Кава,39,114.31
2025-05-25,Венгринович,Харків,Україна,GoodSupply,Львів,Україна,Fanta,Напої,1,61.29
2025-09-07,Якименко,Дніпро,Україна,GoodSupply,Львів,Україна,Nescafe,Кава,8,80.64
2025-05-24,Чуприна,Київ,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,24,65.26
2025-10-24,Дубина,Дніпро,Україна,EcoFoods,Одеса,Україна,Jacobs,Кава,42,25.54
2025-09-27,Бабко,Дніпро,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,28,27.12
2025-08-22,Кабалюк,Одеса,Україна,EcoFoods,Одеса,Україна,Fanta,Напої,27,70.42
2025-07-21,Яремко,Одеса,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,15,75.13
2025-10-27,Бакуменко,Київ,Україна,GoodSupply,Львів,Україна,Mars,Солодощі,3,40.66
2025-10-01,Голик,Львів,Україна,FreshTrade,Київ,Україна,Mars,Солодощі,50,97.3
2025-08-12,Дуплій,Київ,Україна,GoodSupply,Львів,Україна,Lipton Ice Tea,Напої,47,96.7
2025-06-16,Гузій,Одеса,Україна,EastMarket,Харків,Україна,Milka,Солодощі,17,15.55
2025-06-05,Швайка,Одеса,Україна,GoodSupply,Львів,Україна,Sprite,Напої,17,62.43
2025-08-18,Демʼянчук,Одеса,Україна,EastMarket,Харків,Україна,Milka,Солодощі,12,94.89
2025-08-06,Бараник,Київ,Україна,EcoFoods,Одеса,Україна,Mars,Солодощі,34,81.32
2025-06-26,Гайденко,Харків,Україна,EastMarket,Харків,Україна,Jacobs,Кава,49,13.52
2025-09-13,Вовк,Київ,Україна,FreshTrade,Київ,Україна,Jacobs,Кава,7,85.21
2025-09-17,Ірванець,Одеса,Україна,EastMarket,Харків,Україна,Coca-Cola,Напої,36,119.08
2025-07-02,Аверченко,Дніпро,Україна,FreshTrade,Київ,Україна,Snickers,Солодощі,49,101.22
2025-11-14,Данько,Дніпро,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,40,56.45
2025-06-10,Вернидуб,Дніпро,Україна,EcoFoods,Одеса,Україна,Milka,Солодощі,5,82.73
2025-06-14,Ажажа,Київ,Україна,FreshTrade,Київ,Україна,Jacobs,Кава,46,42.35
2025-08-13,Дрозд,Львів,Україна,GoodSupply,Львів,Україна,Jacobs,Кава,21,78.05
2025-08-21,Сімашкевич,Київ,Україна,EastMarket,Харків,Україна,Mars,Солодощі,5,14.07
2025-06-08,Рак,Київ,Україна,FreshTrade,Київ,Україна,Snickers,Солодощі,23,115.44
2025-06-17,Дубенко,Дніпро,Україна,EastMarket,Харків,Україна,Nescafe,Кава,13,91.8
2025-10-22,Колісниченко,Одеса,Україна,FreshTrade,Київ,Україна,Milka,Солодощі,25,13.55
2025-11-11,Корсун,Харків,Україна,FreshTrade,Київ,Україна,Coca-Cola,Напої,38,92.93
2025-09-08,Рябченко,Харків,Україна,GoodSupply,Львів,Україна,Lipton Ice Tea,Напої,12,112.93
2025-10-14,Пустовіт,Львів,Україна,EastMarket,Харків,Україна,Nescafe,Кава,21,21.64
2025-07-15,Сагаль,Дніпро,Україна,EcoFoods,Одеса,Україна,Nescafe,Кава,27,75.14
2025-09-12,Атаманюк,Львів,Україна,EcoFoods,Одеса,Україна,Sprite,Напої,7,61.57
2025-11-16,Палій,Одеса,Україна,FreshTrade,Київ,Україна,Mars,Солодощі,12,99.67
2025-05-26,Козаченко,Харків,Україна,FreshTrade,Київ,Україна,Mars,Солодощі,18,38.66
2025-10-31,Забара,Харків,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,39,111.16
2025-09-17,Охримович,Дніпро,Україна,FreshTrade,Київ,Україна,Fanta,Напої,30,111.81
2025-10-20,Яценюк,Дніпро,Україна,EcoFoods,Одеса,Україна,Coca-Cola,Напої,3,105.63
2025-07-20,Шаповал,Дніпро,Україна,GoodSupply,Львів,Україна,Lipton Ice Tea,Напої,37,100.33
2025-11-15,Гузь,Київ,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,21,29.05
2025-07-25,Ребрик,Харків,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,50,113.0
2025-09-16,Цісик,Львів,Україна,EcoFoods,Одеса,Україна,Milka,Солодощі,15,61.8
2025-07-11,Дробаха,Львів,Україна,EastMarket,Харків,Україна,Milka,Солодощі,39,58.39
2025-09-02,Александренко,Одеса,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,50,119.42
2025-06-23,Тичина,Київ,Україна,GoodSupply,Львів,Україна,Lipton Ice Tea,Напої,5,26.59
2025-10-20,Гаврилець,Дніпро,Україна,FreshTrade,Київ,Україна,Nescafe,Кава,15,45.19
2025-11-09,Кащенко,Харків,Україна,EastMarket,Харків,Україна,Snickers,Солодощі,12,98.65
2025-11-18,Фартушняк,Одеса,Україна,GoodSupply,Львів,Україна,Snickers,Солодощі,32,33.35
2025-09-14,Бабʼяк,Київ,Україна,GoodSupply,Львів,Україна,Snickers,Солодощі,13,64.63
2025-06-19,Титаренко,Київ,Україна,FreshTrade,Київ,Україна,Fanta,Напої,31,105.61
2025-06-14,Ященко,Одеса,Україна,GoodSupply,Львів,Україна,Snickers,Солодощі,15,80.1
2025-07-14,Лемешко,Київ,Україна,FreshTrade,Київ,Україна,Milka,Солодощі,4,90.97
2025-10-09,Арсенич,Дніпро,Україна,FreshTrade,Київ,Україна,Lipton Ice Tea,Напої,6,59.46
2025-10-17,Михалюк,Дніпро,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,44,79.03
2025-08-24,Давимука,Харків,Україна,EastMarket,Харків,Україна,Jacobs,Кава,16,62.59
2025-06-03,Зінкевич,Одеса,Україна,FreshTrade,Київ,Україна,Lipton Ice Tea,Напої,10,18.9
2025-10-05,Гузій,Львів,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,21,40.48
2025-06-24,Давиденко,Дніпро,Україна,FreshTrade,Київ,Україна,Fanta,Напої,33,29.54
2025-06-15,Ващенко-Захарченко,Одеса,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,33,56.12
2025-06-21,Чарниш,Львів,Україна,EcoFoods,Одеса,Україна,Jacobs,Кава,35,21.99
2025-10-31,Філіпенко,Київ,Україна,EastMarket,Харків,Україна,Mars,Солодощі,45,65.3
2025-11-01,Кальченко,Одеса,Україна,FreshTrade,Київ,Україна,Mars,Солодощі,42,33.93
2025-07-24,Охріменко,Харків,Україна,EastMarket,Харків,Україна,Coca-Cola,Напої,10,88.99
2025-11-01,Червоненко,Дніпро,Україна,EastMarket,Харків,Україна,Sprite,Напої,47,98.68
2025-07-30,Рудько,Київ,Україна,EastMarket,Харків,Україна,Sprite,Напої,30,65.78
2025-09-18,Джунь,Київ,Україна,FreshTrade,Київ,Україна,Coca-Cola,Напої,22,24.48
2025-11-03,Бабенко,Київ,Україна,FreshTrade,Київ,Україна,Fanta,Напої,7,20.14
2025-06-01,Журавель,Львів,Україна,EcoFoods,Одеса,Україна,Fanta,Напої,37,77.43
2025-10-06,Гузій,Дніпро,Україна,GoodSupply,Львів,Україна,Mars,Солодощі,28,41.38
2025-07-26,Батюк,Київ,Україна,EcoFoods,Одеса,Україна,Nescafe,Кава,43,50.81
2025-08-11,Євтушенко,Харків,Україна,GoodSupply,Львів,Україна,Fanta,Напої,21,93.22
2025-10-30,Батіг,Одеса,Україна,EastMarket,Харків,Україна,Sprite,Напої,39,77.2
2025-06-23,Височан,Одеса,Україна,EastMarket,Харків,Україна,Mars,Солодощі,36,116.75
2025-11-10,Червоненко,Львів,Україна,FreshTrade,Київ,Україна,Lipton Ice Tea,Напої,9,104.53
2025-08-24,Пʼятаченко,Львів,Україна,FreshTrade,Київ,Україна,Sprite,Напої,3,86.25
2025-06-16,Захарченко,Одеса,Україна,EastMarket,Харків,Україна,Snickers,Солодощі,7,56.09
2025-07-21,Савенко,Львів,Україна,EcoFoods,Одеса,Україна,Mars,Солодощі,18,46.3
2025-10-28,Вдовиченко,Харків,Україна,FreshTrade,Київ,Україна,Sprite,Напої,20,65.58
2025-09-10,Артеменко,Харків,Україна,GoodSupply,Львів,Україна,Jacobs,Кава,20,74.31
2025-11-19,Євтушок,Харків,Україна,GoodSupply,Львів,Україна,Mars,Солодощі,14,100.71
2025-10-29,Щириця,Одеса,Україна,FreshTrade,Київ,Україна,Fanta,Напої,17,30.87
2025-05-27,Іващенко,Дніпро,Україна,EastMarket,Харків,Україна,Sprite,Напої,7,108.66
2025-10-20,Дзюба,Одеса,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,20,58.08
2025-11-04,Дейнека,Київ,Україна,EastMarket,Харків,Україна,Sprite,Напої,43,118.31
2025-09-20,Приходько,Харків,Україна,FreshTrade,Київ,Україна,Coca-Cola,Напої,16,59.67
2025-07-01,Чуприна,Львів,Україна,GoodSupply,Львів,Україна,Nescafe,Кава,16,27.41
2025-05-28,Зінчук,Київ,Україна,GoodSupply,Львів,Україна,Milka,Солодощі,6,59.36
2025-06-02,Луценко,Харків,Україна,FreshTrade,Київ,Україна,Nescafe,Кава,6,53.47
2025-09-13,Штокало,Одеса,Україна,EcoFoods,Одеса,Україна,Milka,Солодощі,39,14.75
2025-06-28,Саченко,Дніпро,Україна,EcoFoods,Одеса,Україна,Nescafe,Кава,40,104.65
2025-06-03,Петрик,Київ,Україна,FreshTrade,Київ,Україна,Nescafe,Кава,38,49.2
2025-09-22,Масляк,Харків,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,50,42.61
2025-06-11,Якименко,Дніпро,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,27,13.85
2025-09-13,Дергач,Дніпро,Україна,GoodSupply,Львів,Україна,Fanta,Напої,2,88.33
2025-11-17,Стець,Одеса,Україна,EcoFoods,Одеса,Україна,Nescafe,Кава,4,73.99
2025-07-17,Лемешко,Харків,Україна,GoodSupply,Львів,Україна,Milka,Солодощі,9,105.18
2025-07-25,Безбородько,Дніпро,Україна,FreshTrade,Київ,Україна,Sprite,Напої,5,64.01
2025-09-24,Рубець,Харків,Україна,EcoFoods,Одеса,Україна,Sprite,Напої,35,10.43
2025-11-16,Сацюк,Одеса,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,25,110.27
2025-11-13,Атаманюк,Київ,Україна,EcoFoods,Одеса,Україна,Nescafe,Кава,36,66.28
2025-10-09,Удовиченко,Харків,Україна,FreshTrade,Київ,Україна,Milka,Солодощі,50,11.25
2025-09-18,Пелех,Одеса,Україна,FreshTrade,Київ,Україна,Snickers,Солодощі,47,105.22
2025-06-13,Даньків,Київ,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,16,66.75
2025-08-06,Михайличенко,Дніпро,Україна,FreshTrade,Київ,Україна,Nescafe,Кава,50,88.05
2025-08-17,Атаманюк,Дніпро,Україна,GoodSupply,Львів,Україна,Milka,Солодощі,7,42.78
2025-07-02,Єресько,Київ,Україна,FreshTrade,Київ,Україна,Nescafe,Кава,46,26.61
2025-06-26,Салій,Харків,Україна,FreshTrade,Київ,Україна,Nescafe,Кава,16,27.78
2025-06-23,Вернигора,Львів,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,33,65.84
2025-09-18,Зарудний,Київ,Україна,EcoFoods,Одеса,Україна,Sprite,Напої,39,49.82
2025-11-18,Шаповал,Харків,Україна,EastMarket,Харків,Україна,Lipton Ice Tea,Напої,3,64.17
2025-07-08,Короленко,Львів,Україна,EastMarket,Харків,Україна,Sprite,Напої,45,116.75
2025-11-18,Хмара,Київ,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,8,79.19
2025-09-02,Малишко,Дніпро,Україна,FreshTrade,Київ,Україна,Milka,Солодощі,43,93.41
2025-07-28,Давимука,Харків,Україна,FreshTrade,Київ,Україна,Jacobs,Кава,13,98.03
2025-09-20,Сіробаба,Одеса,Україна,FreshTrade,Київ,Україна,Snickers,Солодощі,6,59.24
2025-07-10,Єфименко,Львів,Україна,EastMarket,Харків,Україна,Fanta,Напої,30,45.23
2025-07-24,Кальченко,Харків,Україна,EcoFoods,Одеса,Україна,Coca-Cola,Напої,30,85.76
2025-11-10,Вовк,Київ,Україна,GoodSupply,Львів,Україна,Mars,Солодощі,20,30.22
2025-07-19,Скирда,Львів,Україна,EastMarket,Харків,Україна,Milka,Солодощі,44,95.64
2025-06-19,Дурдинець,Дніпро,Україна,FreshTrade,Київ,Україна,Fanta,Напої,4,43.57
2025-10-08,Макогон,Одеса,Україна,FreshTrade,Київ,Україна,Nescafe,Кава,42,41.54
2025-10-22,Дубас,Дніпро,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,47,86.09
2025-10-27,Терещенко,Харків,Україна,GoodSupply,Львів,Україна,Snickers,Солодощі,15,96.92
2025-07-22,Дейсун,Львів,Україна,EcoFoods,Одеса,Україна,Milka,Солодощі,13,24.49
2025-10-09,Архипенко,Дніпро,Україна,GoodSupply,Львів,Україна,Nescafe,Кава,2,17.57
2025-06-05,Якимчук,Харків,Україна,GoodSupply,Львів,Україна,Jacobs,Кава,1,86.58
2025-07-18,Сомко,Київ,Україна,GoodSupply,Львів,Україна,Jacobs,Кава,8,88.4
2025-06-04,Сомко,Дніпро,Україна,EastMarket,Харків,Україна,Mars,Солодощі,5,29.79
2025-09-01,Жаліло,Львів,Україна,EastMarket,Харків,Україна,Snickers,Солодощі,19,22.11
2025-07-02,Рева,Одеса,Україна,EastMarket,Харків,Україна,Nescafe,Кава,36,93.42
2025-06-03,Александренко,Дніпро,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,34,74.03
2025-06-04,Данько,Львів,Україна,EcoFoods,Одеса,Україна,Sprite,Напої,42,46.62
2025-09-19,Дурдинець,Дніпро,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,32,23.68
2025-07-20,Андрейко,Львів,Україна,FreshTrade,Київ,Україна,Milka,Солодощі,35,22.1
2025-07-27,Тимчук,Львів,Україна,EastMarket,Харків,Україна,Coca-Cola,Напої,32,50.59
2025-10-17,Байрак,Одеса,Україна,GoodSupply,Львів,Україна,Snickers,Солодощі,2,90.19
2025-11-03,Забашта,Київ,Україна,EastMarket,Харків,Україна,Fanta,Напої,22,36.93
2025-08-13,Лаба,Одеса,Україна,GoodSupply,Львів,Україна,Lipton Ice Tea,Напої,9,92.96
2025-11-04,Полтавець,Одеса,Україна,GoodSupply,Львів,Україна,Nescafe,Кава,19,13.85
2025-09-19,Швачка,Київ,Україна,EcoFoods,Одеса,Україна,Lipton Ice Tea,Напої,18,80.43
2025-05-29,Дутка,Київ,Україна,GoodSupply,Львів,Україна,Coca-Cola,Напої,46,50.72
2025-11-19,Іващенко,Харків,Україна,EcoFoods,Одеса,Україна,Snickers,Солодощі,35,104.25
2025-10-12,Щорс,Київ,Україна,EcoFoods,Одеса,Україна,Sprite,Напої,3,63.42
2025-11-09,Бараник,Дніпро,Україна,FreshTrade,Київ,Україна,Mars,Солодощі,25,78.98
2025-06-02,Сірченко,Одеса,Україна,FreshTrade,Київ,Україна,Coca-Cola,Напої,3,59.04
